"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts","nfactor","normcounts","rpk","rpm","tpm"
"T7Hi","wt","wt","wt","PA62","1","T7Hi",890,1468,"T7p01","0.3",11173,2618031,0.00426771111572017,0.00738358324519061,6.55558267646702e-06,0.00112630464896674
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1277,1433,"T7p02","0.4",14,2618031,5.3475302622467e-06,3.42790401426071e-05,6.55558267646702e-06,5.22898449067856e-06
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1468,3138,"T7p03","0.7",15660,2618031,0.00598159456477024,0.00358179315255703,6.55558267646702e-06,0.000546372966268096
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1495,1639,"T7p04","0.5",12,2618031,4.58359736764003e-06,3.1830537275278e-05,6.55558267646702e-06,4.85548559848723e-06
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1635,1972,"T7p05","0.6B",15,2618031,5.72949670955004e-06,1.70014739155788e-05,6.55558267646702e-06,2.59343444429585e-06
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1635,1797,"T7p06","0.6A",4,2618031,1.52786578921334e-06,9.43127030378607e-06,6.55558267646702e-06,1.43866239955177e-06
"T7Hi","wt","wt","wt","PA62","1","T7Hi",3138,5887,"T7p07","1",53695,2618031,0.0205096883879526,0.00746078151617047,6.55558267646702e-06,0.00113808060768616
"T7Hi","wt","wt","wt","PA62","1","T7Hi",5887,6448,"T7p08","1.2",44730,2618031,0.0170853591878782,0.030455185718143,6.55558267646702e-06,0.00464568707637078
"T7Hi","wt","wt","wt","PA62","1","T7Hi",6006,6135,"T7p09","1.1",11676,2618031,0.00445984023871375,0.0345724049512694,6.55558267646702e-06,0.00527373486957553
"T7Hi","wt","wt","wt","PA62","1","T7Hi",6448,7588,"T7p10","1.3",126375,2618031,0.0482710097779591,0.0423429910332974,6.55558267646702e-06,0.00645907360535604
"T7Hi","wt","wt","wt","PA62","1","T7Hi",7607,7763,"T7p11","1.4",17022,2618031,0.00650183286599738,0.0416784158076755,6.55558267646702e-06,0.00635769814288074
"T7Hi","wt","wt","wt","PA62","1","T7Hi",7790,7880,"T7p12","1.5",13235,2618031,0.00505532593005965,0.0561702881117739,6.55558267646702e-06,0.00856831358613047
"T7Hi","wt","wt","wt","PA62","1","T7Hi",7905,8166,"T7p13","1.6",36623,2618031,0.0139887571995901,0.0535967708796554,6.55558267646702e-06,0.00817574478498381
"T7Hi","wt","wt","wt","PA62","1","T7Hi",8165,8756,"T7p14","1.7",61408,2618031,0.0234557955960033,0.0396883174213253,6.55558267646702e-06,0.0060541250686681
"T7Hi","wt","wt","wt","PA62","1","T7Hi",8748,8895,"T7p15","1.8",20470,2618031,0.00781885317629929,0.0531894773897911,6.55558267646702e-06,0.00811361552661499
"T7Hi","wt","wt","wt","PA62","1","T7Hi",8897,9092,"T7p16","2",24251,2618031,0.0092630683135532,0.0475029144284779,6.55558267646702e-06,0.00724617730762546
"T7Hi","wt","wt","wt","PA62","1","T7Hi",9157,9856,"T7p17","2.5",138254,2618031,0.0528083892054754,0.0755484824112667,6.55558267646702e-06,0.0115242970975666
"T7Hi","wt","wt","wt","PA62","1","T7Hi",9856,10276,"T7p18","2.8",101284,2618031,0.0386870896486711,0.0921121182111216,6.55558267646702e-06,0.0140509429530623
"T7Hi","wt","wt","wt","PA62","1","T7Hi",10256,10706,"T7p19","3",76530,2618031,0.0292318922121243,0.0649597604713873,6.55558267646702e-06,0.00990907500939274
"T7Hi","wt","wt","wt","PA62","1","T7Hi",10705,11161,"T7p20","3.5",168493,2618031,0.064358672605481,0.1411374399243,6.55558267646702e-06,0.0215293509196292
"T7Hi","wt","wt","wt","PA62","1","T7Hi",11224,11590,"T7p21","3.8",6987,2618031,0.00266879956730841,0.00729180209647106,6.55558267646702e-06,0.0011123041926764
